Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space
Kavinda Kudage Don,Linage,$520 per week ($2260 pcm),"20 Grevillea Drive,",MOUNT DUNEED VIC 3217,4 Beds,2 Baths,2 Parking,N/A
Kavinda Kudage Don,Linage,$480 per week ($2086 pcm),"13 Palladian Dr,",CHARLEMONT VIC 3217,3 Beds,2 Baths,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HouseSmart Property Management Department,HouseSmart Real Estate Pty Ltd,$550 per week,"4K/45 King George Street,",VICTORIA PARK WA 6100,2 Beds,1 Bath,1 Parking,N/A
Carson Mair,Dingle Partners,$470 pw,"202/432 Geelong Road,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$270,"11 McCulloch Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
Kim Te,Motion Property,$610 Per Week,"801/5 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
Dimitri Loukaras,Harcourts Property Centre,$650 per week,"15 Geelong Street,",EAST BRISBANE QLD 4169,2 Beds,1 Bath,2 Parking,N/A
Danielle Ryan,The Core Advisory Team VIC,$750pw,"13/299 Dandenong Road,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Certainty  Property Vic,Certainty Property,$200,"2 Caspian Court,",NEWBOROUGH VIC 3825,1 Bed,1 Bath,− Parking,N/A
Certainty  Property Vic,Certainty Property,$450,"114 Anniversary Avenue,",WYNDHAM VALE VIC 3024,4 Beds,2 Baths,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$275,"16 Astral Walk,",WOLLERT VIC 3750,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kayla Crea,HEDLEY REAL ESTATE,$520 weekly,"19 Rottness Dr,",ARMSTRONG CREEK VIC 3217,4 Beds,2 Baths,2 Parking,N/A
Carson Mair,Dingle Partners,$470 pw,"G1/432 Geelong Road,",WEST FOOTSCRAY VIC 3012,2 Beds,1 Bath,1 Parking,N/A
Certainty  Property Vic,Certainty Property,$240,"6 Songlark Street,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
Mary Corso,Victoria Real Estate Agency Pty Ltd,$530 PER WEEK,"11/46 Botanical Drive,",LARA VIC 3212,3 Beds,3 Baths,2 Parking,N/A
Mary Corso,Victoria Real Estate Agency Pty Ltd,$530 PER WEEK,"10/46 Botanical Drive,",LARA VIC 3212,3 Beds,3 Baths,2 Parking,N/A
Kim Te,Motion Property,$590 per week,"1002/1 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,N/A
George Laliotis,MPC Moss Property Consultants,$550 per week,"7/38 Geelong Road,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,N/A
Evelyne Surja,Kay & Burton Stonnington,$1695 Per Week,"2 Rathmines Street,",TOORAK VIC 3142,3 Beds,2 Baths,2 Parking,N/A
Certainty  Property Vic,Certainty Property,$250,"17 Oakhill Terrace,",CHURCHILL VIC 3842,1 Bed,1 Bath,1 Parking,N/A
Kavinda Kudage Don,Linage,$510 per week ($2216 pcm),"12 Eagle Road,",ARMSTRONG CREEK VIC 3217,4 Beds,2 Baths,2 Parking,N/A
Casey Blaine,N/A,FULLY FURNISHED - $420 PER WEEK,"5/8 Dale St,",KENNINGTON VIC 3550,1 Bed,1 Bath,1 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$580,"21 Manchado Street,",TARNEIT VIC 3029,4 Beds,2 Baths,2 Parking,N/A
,N/A,$550.00,"10 Norman Court,",HIGHTON VIC 3216,3 Beds,2 Baths,2 Parking,N/A
,N/A,$ 570 - Per week - Fully Furnished,"6A and 6B / 312-320 Moorabool Street,",GEELONG VIC 3220,2 Beds,2 Baths,1 Parking,N/A
,N/A,$550.00,"252 Ohallorans Road,",LARA VIC 3212,4 Beds,2 Baths,2 Parking,N/A
,N/A,$240,"63 Pintail Drive,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
,N/A,$250,"8 Jacobena Road,",MELTON SOUTH VIC 3338,1 Bed,1 Bath,− Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$410.00,"13 Bluegum Court,",CORIO VIC 3214,3 Beds,1 Bath,2 Parking,N/A
,N/A,$495 - per week - Fully Furnished,"4703/4 Yarra Street,",GEELONG VIC 3220,1 Bed,1 Bath,1 Parking,N/A
,N/A,$850.00,"62 Eastern Beach Road,",GEELONG VIC 3220,3 Beds,3 Baths,2 Parking,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,$450.00,"39 Oxford Street,",WHITTINGTON VIC 3219,3 Beds,2 Baths,2 Parking,N/A
,N/A,$515.00,"15 Hopkins Street,",SOUTH GEELONG VIC 3220,2 Beds,2 Baths,1 Parking,N/A
,N/A,$495.00,"58 Porter Avenue,",HIGHTON VIC 3216,3 Beds,1 Bath,1 Parking,N/A
,N/A,$205 Per week - x 1 rooms available,"22 Senior Court,",HIGHTON VIC 3216,1 Bed,1 Bath,− Parking,N/A
,N/A,$730 Parkside living Highspeed unlimited WiFi PetFriendly,"224/109 Manningham St,",PARKVILLE VIC 3052,1 Bed,1 Bath,1 Parking,N/A
,N/A,$665 Parkside living Highspeed unlimited WiFi PetFriendly,"225/109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,N/A
,N/A,$750 per week Parkside living Highspeed unlimited WiFi PetFriendly,"403/109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,N/A
,N/A,$950 Parkside living Highspeed unlimited WiFi PetFriendly,"607/109 109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,N/A
