Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$520,"18 Primary Road,",TARNEIT VIC 3029,3 Beds,2 Baths,2 Parking,263m²,mildura-vic,-37.8826,144.7003
,,$420,"20 Murray Avenue,",RED CLIFFS VIC 3496,3 Beds,1 Bath,1 Parking,613m²,mildura-vic,-34.3122414,142.1844652
,,$520 weekly,"15/44 Mcmaster St,",VICTORIA PARK WA 6100,2 Beds,1 Bath,1 Parking,,mildura-vic,-31.9739084,115.8936077
,,$470 per week,"38 Acacia Drive,",MILDURA VIC 3500,3 Beds,2 Baths,2 Parking,,mildura-vic,-34.2023781,142.1422649
,,$650,"16 Darlington Parade,",MILDURA VIC 3500,4 Beds,2 Baths,2 Parking,,mildura-vic,-34.1969348,142.1225058
,,Under Application,"9 Sutherland Avenue,",MELTON SOUTH VIC 3338,3 Beds,2 Baths,5 Parking,578m²,mildura-vic,-37.6994792,144.5791203
,,$350 P/W,"7B Melia Street,",RED CLIFFS VIC 3496,2 Beds,1 Bath,1 Parking,,mildura-vic,-34.3099909,142.1960545
,,$330,"2 Pine Street,",RED CLIFFS VIC 3496,2 Beds,1 Bath,2 Parking,,mildura-vic,-34.3098274,142.2069283
,,$920,"11/1781 Malvern Road,",GLEN IRIS VIC 3146,3 Beds,2 Baths,2 Parking,,mildura-vic,-37.8599,145.0549
,,$460 weekly,"16 Coleman Ave,",MILDURA VIC 3500,3 Beds,1 Bath,2 Parking,,mildura-vic,-34.1770745,142.1497717
,,$495 weekly,"6 Madison Close,",MILDURA VIC 3500,3 Beds,2 Baths,1 Parking,,mildura-vic,-34.2113587,142.1495018
,,$920 weekly,"3 Young St,",BOX HILL VIC 3128,3 Beds,2 Baths,2 Parking,,mildura-vic,-37.8171987,145.1163199
,,$575 weekly,"23 Petrucci Way,",MILDURA VIC 3500,3 Beds,2 Baths,2 Parking,,mildura-vic,-34.1722626,142.141011
,,$480 Per Week,"59 Bronson Circuit,",HOPPERS CROSSING VIC 3029,3 Beds,2 Baths,1 Parking,,mildura-vic,-37.8608753,144.6872141
,,$575 weekly,"19 Bakogiannis Ct,",MILDURA VIC 3500,4 Beds,2 Baths,2 Parking,,mildura-vic,-34.2057696,142.1259717
,,Under Application,"11 Gramercy place,",STRATHTULLOH VIC 3338,4 Beds,2 Baths,3 Parking,,mildura-vic,-37.7269779,144.61136
,,$520 per week,"27 Pedirka Road,",TRUGANINA VIC 3029,3 Beds,2 Baths,1 Parking,,mildura-vic,-37.7680725,144.6857966
,,$580,"10/966 Albany Highway,",EAST VICTORIA PARK WA 6101,1 Bed,1 Bath,1 Parking,,mildura-vic,1.5,109.25
,,$535 Per Week,"1 Evesham Drive,",POINT COOK VIC 3030,4 Beds,2 Baths,2 Parking,,mildura-vic,-37.9017064,144.7597983
,,$220.00 per week,"142C Thirteenth Street,",MILDURA VIC 3500,1 Bed,1 Bath,2 Parking,,mildura-vic,-34.187258,142.1476243
,,$540,"6 Surround Circuit,",BONNIE BROOK VIC 3335,4 Beds,2 Baths,2 Parking,,mildura-vic,-37.7086078,144.6784588
,,$900.00 PER WEEK,"13 Jackson Road,",KARAWARA WA 6152,4 Beds,2 Baths,2 Parking,,mildura-vic,-32.0058305,115.8797913
,,$500 Per Week,"79 Wagner Drive,",WERRIBEE VIC 3030,4 Beds,2 Baths,2 Parking,,mildura-vic,-37.9171981,144.6335882
,,$420.00 per week,"18 Tatra Avenue,",MILDURA VIC 3500,3 Beds,1 Bath,2 Parking,641m²,mildura-vic,-34.1734467,142.1519997
,,$560 Per Week,"71 Starboard Way,",WERRIBEE SOUTH VIC 3030,4 Beds,2 Baths,2 Parking,,mildura-vic,-37.963701,144.7088524
,,$650 weekly,"3 Shoreline Cr,",CARRUM DOWNS VIC 3201,4 Beds,2 Baths,2 Parking,,mildura-vic,-38.0980715,145.1919751
,,$300 per week,"7/26 William Street,",GOL GOL NSW 2738,2 Beds,1 Bath,1 Parking,,mildura-vic,-34.1790403,142.2230241
,,"$580 Per Week, Including Lawns Mowed","1385 Heatherton Road,",DANDENONG NORTH VIC 3175,3 Beds,1 Bath,2 Parking,590m²,mildura-vic,-37.9703583,145.2176898
,,$480,"2 Jewel Court,",MILDURA VIC 3500,4 Beds,2 Baths,2 Parking,,mildura-vic,-34.197658,142.1829637
,,$600 per week,"238 Seventh Street,",MILDURA VIC 3500,3 Beds,1 Bath,2 Parking,,mildura-vic,-34.1857455,142.166979
,,$495 weekly,"24/265-283 Twelfth St,",MILDURA VIC 3500,3 Beds,2 Baths,1 Parking,,mildura-vic,-34.1827562,142.1457726
,,$870 weekly,"3103/100 Lorimer St,",DOCKLANDS VIC 3008,2 Beds,2 Baths,2 Parking,,mildura-vic,-37.8149,144.9505
,,$610 weekly,"6108/172 Edward St,",BRUNSWICK EAST VIC 3057,2 Beds,2 Baths,1 Parking,,mildura-vic,-37.7603,144.9502
,,$520,"2/29 Vincent Avenue,",ST ALBANS VIC 3021,3 Beds,2 Baths,2 Parking,,mildura-vic,-37.7451799,144.808638
,,$475 weekly,"19 Durham Ave,",MILDURA VIC 3500,3 Beds,2 Baths,2 Parking,,mildura-vic,-34.168965,142.1447642
,,$495 weekly,"LG 202/45 Linden Avenue,",IVANHOE VIC 3079,1 Bed,1 Bath,1 Parking,,mildura-vic,-37.754915,145.0543999
,,$650.00 per week,"26 Luckymack Way,",MILDURA VIC 3500,4 Beds,2 Baths,3 Parking,,mildura-vic,-34.208089,142.1135348
